,content,score,at
5469,"Mantap ni aplikasi ""ada kami"", ga nyesel ane install, ga spt apk. Pinjol lain yg banyak bohongnya tp pinjol ada kami asal bener datanya, sabar dilakukan berulang sampe berhasil upload, ane jamin tim analisa meng acc, buruan install ga akan rugi. Trims kpd semua tim analisa ""ada kami""..Jaya terus.Ok Bosque",5,2020-12-11 07:54:43
9667,Alhamdulillah acc lagi ini pengajuan sy yg k 4 x nya limit pun naik... Tenor pun nambah... Recomend bgt buat tmn tmn yg mau pngajuan d sini.. Cs nya ramah ramah.. Bagian penagihan nya pun ramah... Sukses trs ada kami.. Sy kasih bintang 5...,5,2020-12-11 08:06:06
9001,"Saya sudah melengkapi data, tapi tidak pernah di verifikasi, selalu ditolak, ditelp pun tidak pernah. Tapi di iklan kok wow x ya.. Gampang dan mudah menerima pinjaman. Sudah lebih dari 5 x saya mencoba.",1,2020-12-11 09:17:50
7794,"Saya telah mengajukan pinjaman dan pihak dari aplikasi ini memberikan pinjaman sebesar 2400000,setelah itu pas proses terakhir kenapa limit yang akan saya terimah cuma 400000ribu..tolong dari pihak aplikasi ini memberikan penjelasan mengenai proses pencairan tersebut..trimah kasih",4,2020-12-12 01:27:08
6895,Permisi admin.. Saya mau nanya.. Kok prefekisi wajah saya ga bisa yah. Saya baru daftar. Tp pas pengambilan wajah. Kok ga bisa ke rekam yah gambar nya,5,2020-12-12 02:55:07
7475,"Pinjaman pertama,ke2 dan ke 3 lancar, bayarnya juga tepat waktu saya sudah lunas, tp kenapa ini mau pinjam lagi uda gk bisa, katanya gk cukup limit,",3,2020-12-12 07:05:27
6320,Terima kasih adakami pinjaman kedua saya telah disetujui.. untuk membantu usaha saya yg lebih maju..... Cukup rekomendasi tanpa ribet dalam pengajuan pinjamannya... Pinjaman yg kedua disetujui tanpa lama.lama cair... The best adakami,5,2020-12-12 08:16:38
6339,"Wowww, dari segi persyaratan sangat mudah sekali dan tidak ribet, mudah mudahan saya disetujui, sama ada kami Mohon bantuan nya supaya saya bisa di ACC, amin Semoga terus maju Dan,selalu mengutamakan kepuasan pada nasabah yg mau pinjam uang, karna ini sangat luar biasa tidak ribet sama sekali",5,2020-12-12 15:01:28
2486,disini tuh ketika kalian masuk ke pinjaman ke 4 pasti di tolak tanpa adanya transparansi dari pihak ada kami. Padahal debitur di pinjaman sebelumnya sebanyak 3X selalu lancar dan tidak pernah telat bayar. Saat di tanyakan ke CS lewat email yg balesnya itu bot. Selucu inikah aplikasi ini ketika nasabah baru kalian terima dan nasabah lama yg sudah jelas lancar malah di tolak.,5,2020-12-12 16:32:15
8535,"pencairan dan approve cepat, proses mudah dan tidak ribet.. langsung cair ke nomor rekening... Terimakasih AdaKami",5,2020-12-13 08:37:55
6694,"Saya sudah melunasi tagihan atas nama istri sebelum jatuh tempo tapi tetap masih ada tagihan. Awas saja kalo istri saya ditagih saat jatuh tempo, saya sudah pegang bukti pembayarannya. Hub cs via WA malah tidak terdaftar",1,2020-12-13 16:07:37
5106,"Kasus saya sama , pengalaman pinjam baru 3 hari langsung dibalikin tp ternyata akun palsu , dan kendala saya sekarang saya mau melakukan pembayaran mendapat kendala, petugas Alfamart tidak bs membayar ini bagaimana. Sy minta langkah2 agar bs melakukan pembayaran dengan benar ,terimakasih",2,2020-12-13 20:05:05
6361,Pinjaman online terbaik... Pengajuan ngga ribet.. Saya udah 4 kali pinjam alhamdulilah selalu berhasil.. Kalau udah mau jatuh tempo juga di telfon nya dengan bahasa yg sopan.. Terima kasih AdaKami sudah meringankan beban saya di masa pandemi seperti ini.. Sukses selalu buat adakami..,5,2020-12-13 20:52:13
6391,Saya sudah jadi Cust selama 2x dan pembayaran saya lancar sebelum jatuh tempo jauh . Untuk pengajuan ke 3 saya kenapa ditolak alasan data . Bisa lgsg dikonfirmasi ke saya soal data . Bisa dibantu jelaskan n proses kembali . Terimakasih,5,2020-12-14 05:39:21
9580,Saya tidak puas tidak sesuai dengan kenyataan saya pinjam aja di tolak aplikasi ini tak sama dengan yg di iklan kan kata nya mudah cepat ternyata busit omdo,1,2020-12-14 16:38:17
7356,"Sejauh ini saya tidak pernah ad kendala setiap melakukan pinjaman d adakami,,next time limit'x kasih naik lg donk kan saya pelanggan lama yg tak pernah telat bayar..",5,2020-12-15 00:48:41
3797,"Saya kasih bintang 4 ya, saya suka bgt dg apk ini. Pengajuan mudah dan limit cepat naik. Cuma saya gak suka kalo ditelp² terus. Blm jatuh tempo ditelp terus. Ada org rapat telp². Hmm semoga selalu sukses kedepannya",4,2020-12-15 02:35:39
5747,"Saya NOPRI ANDIKA .Trimakasih adakami ,baru pertama minjem langsung di acc Jangka waktu nya panjang .semoga limit saya terus di naikan .saya janji akan bayar selalu tepat waktu . Saya pelangan di aplikasi lain tapi saya sudah tidak mau di aplikasi itu lagi karna saya sudah berlangganan disitu sudah 1 tahun lebih limit cuman 2 juta sedangkan say bayar selalu tepat waktu dan disitu bunga nya terlalu mencekik sekali beda dengan ADAKAMI yg limit nya kecil dan tenor yg panjang .",4,2020-12-15 05:13:57
9619,"Saya sudah mengajukan pinjaman dengan peraturan yg benar .tapi ko limit saya cuma dapat 400,000 padahal yg dadinya ditawarkan lebih dari 4 jt bahkan sampe 8jt . Jadi maap .serasa saya uang 400,000 untuk dijadikan modal apa.? Kalau buat usaha ku uang 400,000.ga pake pinjem .1 hari jg dapat .maka itu aku ajukan 8 jt buat tambah modal .tiba"" cuma dapat limit 400,000. Jadi buat saya minta .hapus datadata saya .segera jangan same ada hal"" yg tida diinginkan .",1,2020-12-15 05:24:10
9680,"Sangat sangat kecewa dan merugikan saya, uang belum masuk ke rek saya namun tagihan sudah masuk sampai sekarang nagih nagih terussss.. Sangat sangat merugikan saya tolong lebih teliti lagi",1,2020-12-15 06:21:47
9551,"Ada kami mantap,benr2 membantu dan dana pencairan juga ceper,saya sudah langganan pinjam apk ini tpi kenapa sekarang ga bisa di pinjam lagi pengajuan di tolak terus,tolong di bantu.",5,2020-12-15 08:30:24
9480,Sangat puas.. Baru kali ini mengajukan pinjaman tidak ribet seperti pinjaman online nya.. Proses mudah sekali.. Sangat membantu,5,2020-12-15 08:52:46
6876,Halo kak. Saya sudah melakukan perpanjangan dan d aplikasi sudh berubah. Tapi kenapa karyawannya masih sms kalau belum bayar dan menerima konsekuensinya. Sdgkan d aplikasi sudh brubah. Tlong d cek kembali yah. Trimakasih,5,2020-12-15 09:52:28
8581,Saya merekomdasikan apps ini Karna tidak ribet dalam proses peminjaman. Kurang dari 24 jam dana masuk ke rekening kita #pakai apps ini dengan bijak Dan pastikan anda mampu untuk mengembalikan ya,5,2020-12-15 12:20:43
9345,Terima kasih adakami..walaupun awal nya tidak di acc..tp pas di suruh kembali lagi ternyata di setujui..naik limit pula..tenor nya panjang pula..pokok nya suka dgn aplikasi ini..,5,2020-12-15 12:31:46
9610,"Ga lagi lagi deeh pake app adakami. Menggecewakan banget, baru di cancel 1x langsung ga bisa minjam lagi, langsung di suruh nunggu sebulan. Payaah laa aps nya... ga lagi lagi deeh kek gini",1,2020-12-15 14:17:10
6692,"Udah 4 hari yang lalu disetujui dan proses pencairan udah tanda tangan online, tapi sampe sekarang dana belum juga masuk ke rekening. Di email dari kemarin2 ko belum ada respon sama sekali ya? Ditelfon juga sibuk. Makasih",4,2020-12-16 04:23:48
7820,"cukup puas dan hanya sekedar memeberi saran mungkin ketika nasabah belum bisa bayar full bisa untuk bayar bunga nya bosku,,hanya saran..🙏👍",5,2020-12-16 06:10:04
9259,Adakami ramah dalam menjawab setiap pertanyaan saya. Tapi suka banyak sms masuk mengatasnamakan adakami. Tolong saling menjaga kerahasiaan data ya. Terimakasih,5,2020-12-16 06:59:57
7303,"Akhirnya saya terbantu dengan pinjaman dari AdaKami untuk memenuhi kebutuhan sehari-hari, semoga kedepannya jika saya mengajukan pinjaman lagi agar lebih dipermudah, dan saya mendapatkan kemudahan dengan metode pembayaran serta limit lainnya, sekali lagi terima kasih dan pertahankan.",5,2020-12-16 14:41:07
9920,Dari kemaren. Cumak verivikasi aja setelah mau minjam kata nya ajuan ada di tolak. Tpi aq dapet pesan klk udah di setujuin. Aq cek rekeningqu gk ada tuh. Tolong hapus aja data qu klk gtu,1,2020-12-17 04:29:43
8317,Bagian penagihannya parah.. pas jatuh tempo nagihnya kayak kita udah telat.. saya sdh bilang pasti saya bayar hr ini tp blm tau jam berapanya karena sedang ada kegiatan di kantor yg gak bisa di tinggal.. eh malah ngotot suruh pastiin jamnya.. udh gitu pake bilang jangan alesan kalo blm ada duit buat lunasin.. parah.!! Selesai acara lgsung saya bayar dan apus apk nya,1,2020-12-17 07:22:21
9114,"sangat memantu, saya sudah 2 kali pinjam di apk ini Alhamdulilah di ACC , pengamjuannya gak ribet. tapi kalo boleh saran bungganya agak ringanin dikit supaya nasabah makin puas lagi. terimakasih Adakami. mantap dah pokoknya.",5,2020-12-17 07:51:57
6960,"sudah dibantu adakami pinjama ke 5. aplikasi sangat sangat membantu keuangan saya😊🙏. dan di setujui gak pakai lama. prosesnya isi data saja pas awal awal pinjam.kesananya alhamdulilahh bangett ngebantu bantu. yang lain kalo mau download. silakan. ini bener2 percaya. untuk di bungany saya bilang masih di batas wajar y.. tapi kalo saran, belum ada sistem jangka bulanan.. tuk pengembaliannyA",5,2020-12-17 08:21:02
7108,Saya merasa kecewa dengan aplikasi ini tidak recommended banget. Saya berusaha bayar sebelum jatoh tempo tetapi tidak bisa sistem nya bermasalah minta bantuan email ke cs tidak ada respon minta bantuan ke nomor wa yang tertera di aplikasi tidak aktif sampai akhir nya saya lewat jatoh tempo dan para penagih malah tidak sopan tidak ber etika dalam nagih nya saya benar2 kecewa katanya di bawah OJK ternyata aplikasi ini ilegal. Untuk yang mau download aplikasi ini mending jangan,1,2020-12-17 13:28:25
9590,Alhamdulillah ternyata pengajuan saya di ACC dengan sangat cepat sekali. Terimakasih AdaKami sudah membantu kebutuhan saya. Tingkatkan selalu pelayanan dan kenyamanan yang baik untuk nasabah.,4,2020-12-17 17:03:23
7044,"Alhamdulillah Ada Kami bukan sekedar pinjaman online tp bs jd rekan ketika kita membutuhkan. Sdh 3x peminjaman malah mw 4x ini sll deal, terima kasih ats kepercayaannya. Bunga jg msh taraf wajar ga berlebihan, pokok e TOP, sukses ya. Semoga makin berkembang, jgn lupa buat Nasabah lama sekali2 d kasik tambahan limit ya 😁",5,2020-12-18 02:32:02
7976,"Makasih yaa Adakami aplikasi yg luar biasa semoga semakin sukses, dan tetap menjadi aplikasi pinjaman online no 1,yg butuh modal usaha adakami solusinya karna minjam di sini gak ada potongan sodara rekomen banget,,,skali lagi trima kasi,",5,2020-12-18 02:38:44
6828,baru pertama kali mengajukan. tunggu beberapa menit. yg penting datanya diisi dengan benar.... langsung di acc...limitnya pun besar. bunganya pun cukup baik. aplikasi ini sangat rekomendasikan.,5,2020-12-18 03:24:06
6990,"Adakami ini anehnya pake kebangetan, yg bayar tagihannya lancar mau ngajuin lg di tolak, malah yg bayarnya telatlah bayar bunganya dululah di layanin dgn baik, bnr2 super aneh, nasabah yg bagus di abaikan sedang nasabah yg gk tepat di utamakan, klo kayak gitu caranya gmn mau maju",1,2020-12-18 11:45:33
7187,"pertama di acc dan bayarpun gak telat.. minat ingin pinjam lagi karna limit sudah naik,, ehhhh,, malah gak di acc.. wkwkwkwkw lucunya adakami.. wkwkwkwkwk klo gak ada modal hapus aja apk nya dr playstore 😂😂😂",1,2020-12-18 23:37:01
8188,"Utk sekian kali nya mengecewakan,riwayat bagus udh sering pinjam tp skrg pinjam malah ga prnah acc,atau lg ga cukup dana kah. Maaf yaa klo d platform lain selama riwayat kita bagus selalu dan proses cepat d acc. Dlu suka bgt ada kami maaf skrg sgguh mengecewakan,malaj d alihkan k apk² ga jelas begitu d tolak. Yg profesional kak kalo niat bisnis. Bunga juga lumayan tggi kan yg d dpt tp kok seribet ini aneeehh.",1,2020-12-19 01:22:59
7777,"Pengajuan pinjaman pertama di setujui dan sudah bayar sebelum tanggal pembayaran ,saya mau kembali mengajukan pinjaman ke 2 di TOLAK dengan alasan limited tidak cukup dan data anda tidak lengkap,anehnya saya Sdh mengajukan pinjaman ke 1 trus Terima, pinjaman ke 2 TOLAK....🤦🤦tlng pihak adakami lebih teliti lagi lihat record saya.",1,2020-12-20 04:07:35
9181,"Siapa pun yg mengenal aplikasi ada kami tidak bakalan kecewa,dan mengecewakan,karna ada kami aplikasi yg sangat membantu untuk kita yg pedagang kecil,ada kami,,,isdebesss",5,2020-12-20 06:25:02
7365,Saya sangat kecewa data yang saya kirim sudah benar semua dan saya tunggu pengajuan di tolak demi kenyamana saya saran kan tolong hapus semua data2 saya yang sudah saya kirim apa bila data saya di persalah gunakan saya tidak segan2 buat ke depan nya terimakasih.,1,2020-12-20 08:58:56
8707,Sangat membantu dan semoga bisa diperbaiki lgi dalam hal pinjaman bisa buat cicilan dan bunga ga terlalu besar biar ga memberatkan peminjam. Terimakasih adakami,5,2020-12-20 23:17:14
8088,"Sy sudah pernah pinjam di aplikasi ini pda bulan agustus,sudah sy lunasi tapi kenapa sy selalu di tolak, pada saat jatuh tempo di aplikasi ada perpanjanga pinjaman jd sy hanya bayar perpanjangannya sj, tapi sebelum jatuh tempo sy sudah trasfer sisanya, tapi pas sy ajukan lagi, pengajuan sy selalu di tolak, bahkan sampai saat ini, mohon dong penjelasannya, terima kasih.",4,2020-12-21 01:43:46
7250,"Saya udah cape"" ngisi data ahirnya malah ga di ACC, malah nunggu bulan depan at butuh nya juga sekarang bln depan, tolong mohon di perhatikan .... Pihak adakami data saya sudah lengkap padahal",1,2020-12-21 02:21:02
6010,Sangat buruk.. Masa setelah membayar dan dijanjikan mendapat limit tinggi lalu tidak bisa mengajukan pinjaman lagi. Alasan nya karna skor kredit berkurang.. Padahal sya bayar sebelum jatuh tempo.. Di telpon juga di janjikan akan bisa meninjam lagi dan limit pinjaman naik. Ternyata hoax,1,2020-12-21 12:03:50
3658,"Recommended, tidak ribet, biaya rendah, tanpa pemotongan diawal, setelah beberapa kali dapat yg mingguan, akhirnya dpt juga yg bulanan (mantap- ini baru aplikasi yg membantu), tetap saling menguntungkan, review penagihan ""sedang"" lebih baik lagi bila alarmnya max 1x sehari, Sukses selalu AdaKami",5,2020-12-22 06:22:41
7083,"saya pinjam udah 3x, eh lha kok pas butuh banget pinjaman ke4 ditolak, payah nih, langsung uninstal krn kesal... bye bye , semoga dpt member baru yg bermasalah krn tdk menghargai member lama yg tak pernah melewati jatuh tempo.",1,2020-12-22 09:54:59
9107,"Pinjaman online paling bagus Saya membuktikan sendiri proses cepat, tempo masuk akal bonus ada dan yang paling penting selalu d beri tau kalau ada reward atau bonus dari adakami.apk Terimakasih adakami",5,2020-12-23 00:06:53
8058,Trimakasih AdaKami Sdh memberikan sya perpanhangan Atas pelunasan kredit saya..AdaKami Sangat membantu nadabah Dalam segala kemudahan Dan keringanannya.. Bunga kredit yg proportional system Aplikasi yg comfortable.. I PREFFER IT.. 👍👍👍👍 Lagi lagi dg ketrlmbatan byr Saya sdh dikasih discount Dan brkesmpatan Bisa pinjam lagi yg ke 2 lgs ACC.. AdaKami.. D'Best👍,5,2020-12-23 01:04:22
6967,Padahal saya nasabah baru yang ingin meminjam karena terdesak oleh keadaan tp pengajuan saya ditolak pdhl data udh lolos verif. Saya mohon data saya tidak disalah gunakan klo smpai terjadi penyalah gunaan data saya tdk rela. Klo bisa data saya dihapus dan jgn ada penagihan ya karena pengajuan jelas2 diTOLAK!!!!,1,2020-12-23 01:42:25
6045,"Trimakasih AdaKami,, proses nya cepat dan bunganya tidak terlalu tinggi dibandingkan pinjaman onlen yg lain.. Kalau kita bagus kredit pinjaman meningkat dn pembayaran bisa dicicil per bulan..",5,2020-12-23 04:18:56
9352,"Terimakasih ada kami..ada kamu semua jd mudah disaat membutuhkan.install, pengajuan,proses,cair gak pake lama.baru pertama pinjam langsung mendapatkan limit besar dan disetujui.maju terus ada kami👍👍👍👍👍🎉🎉🎉🎉🎉",5,2020-12-23 04:24:39
7466,"Saya membayar lebih awal dengan harapan score credit saya lebih baik, namun pengajuan pinjaman saya ditolak karena score credit saya katanya tidak mencukupi, padahal ini bukan pinjaman yg pertama lho, saya sangat menyesal kan sistem ada kami dalam melakukan penilaian apalagi ini penghujung tahun, saya sangat mengharapkan pinjaman saya tidak ditolak, semoga adakami makin lebih baik kedepan. Trims",1,2020-12-23 04:49:57
8329,"Alhamdulillah...senang bekerjasama dgn aplikasi ini karna mmg membantu keuangan dlm hal keperluan sy... Buat kamu yg bener"" butuh banged..pke aplikasi ini aj.. Inhsa Allah lbh baik dr aplikasi yg lain...disaat aplikasi lain mengancam suruh bayar....klo aplikasi ini pas jatuh tempo pun mereka ga pernah ada ancaman melalui tlp & sms",5,2020-12-23 05:05:29
7667,Saya kasih bintang 5 Udah 4 kali pengajuan tetap di terima karna tidak pernah bayar terlambat...poko y aku suka dengan adakami muga aja dapat limit yang besar dan bisa di cicil.batas pencicilan ya berapa ya bos qu adakami,5,2020-12-23 05:45:04
5550,"Awalnya di kasih limit 600K males lah ngajuin, tiba2 di kasih limit naik. Coba ajukan dan disetujui, kasih 4 bintang dulu, nanti jika pengajuan ke 2 berhasil, pengajuan ke 3 gagal. Auto hapus aplikasi. Pinjol sampah sudah habis modal, padahal bayar selalu 2 hari sebelum jatuh tempo. Tolong hapus data saya. Pinjol bangke",1,2020-12-23 06:05:01
7513,"Kenapa tidak bisa untuk pengambilan foto,, padahal cukup terang sekali. Tak ada tombol untuk pengambilan gambar wajah. Gimana caranya agar bisa",1,2020-12-23 10:54:35
7860,Halo adakami. Inget sy sdh byar semua tagihan sy lunas.sy ga mau byar klo ada tagihan sy ada bukti tf tp msih ada tagihan d beranda sy.uninstal sdh.pdhal ga pernah telat bayar tp mengecewakan sdh bunga besar tp sistem kurang canggih btuh waktu brp lama konfirmasi pmbyaran sy.d email ga d bls cs jg datar jawabannya,1,2020-12-24 03:09:42
6744,"jadi nasabah adakami sudah hampir 2 tahun,baru kemarin bayarnya pas sudah jatuh tempo biasa,tak pernah. eeh rada kecewa sih sama limitnya langsung turun,mudah-mudahan ajuan pinjamnya ngak ditolak.",3,2020-12-24 05:57:31
4073,"Untuk pengajuan cepat tdk ada masalah cuma dananya lambat masuk kerekening nasabah "" kalau bisa dana yg masuk disesuwaikan dengan tgl pembayarannya dan jgn langsung ditetapkan sedangkan dana belum masuk jadi ada rehat waktu yg terbuang @ dan dana yg masuk tlong di wa atau sms kenasabah yg bersangkutan jadi tidak saling menunggu @ untuk perbaikan saja",5,2020-12-24 08:16:27
7444,Kaga bisa verfikasi muka...ribet banget ..masa harus gua banting hape ..sistem lu eror kali nih aplikasi nya ..yg lain gampang aja pengenalan muka .gak beres .data gua udah masuk..awas aja di salah gunain .cepat ACC dan perbaiki tuh PENGENALAN MUKA /verifikasi muka nya .biar cepet .,1,2020-12-24 12:26:46
6461,"Masa gw pas mau daftar udah langsung terdaftar, padahal gw baru aja instal app ini. Ada yg salah gunakan data pribadi gw . Jahat banget emang . Padahal lagi butuh banget. Aplikasi nya tidak aman. Mudah di hack orang lain. Semoga admin bisa respon saya dengan baik atas keluhan saya",5,2020-12-24 15:49:18
7603,"Bintang 3dulu ya bossku... Jika kedepannya bagus bintang 5 saya berikan... Terimakasih Tgl.23-12-2020 Ternyata benar saya ngga salah kasih bintang 3 buktinya setalah saya bayar pelunasan pinjaman pertama ditgl.23 pengajuan pinjaman yg ke2 ditolak sungguh menyebalkan ni,app adakami(padahal app.adakami tlp klo bayar bagus limit naik dan pengajuan cepat ternyata omongkosong saja) app.modalnya sudah habis Nasabah yg benar diabaikan yg ngga bener disetujui...jaga ya data sya jangan disalahgunakan ...",3,2020-12-24 22:11:03
4393,Terima kasih adakami... Aplikasi bagus dan tidak sulit... Sudah berapa kali pengajuan selalu diacc dan limit selalu naik dan pencairan super cepat.. Hanya menunggu -+15menit langsung cair... terimakasih adakami ...,5,2020-12-24 22:17:16
8986,Sangat membantu sekali di saat saya lgi butuh bnget modal...mantep banget... ini aplikasi gak ribet juga.. Smoga kdepan nya tmbah sukses dan akan lngganan trus... Trimakasih ya...,5,2020-12-25 01:00:50
3669,"Memang pelayanan sangat ceoat sekali, sesuai dgn iklannya 5 menit lgsg caer, saya sangat puas sekali, tp kalau bisa jangka tenor nya yg lebih panjang, jadi ada pilihan lebih banyak, trims adakami 👍👍👍",5,2020-12-25 02:07:13
6851,"Terimakasih untuk layanan adakami. Karena pengajuan saya hari ini telah disetujui. Tanpa ribet, dan tanpa kendala apapun sdh dangsung di Acc. Hanya tinggal menunggu danacair. Yukk yg belom coba downlod sgera aplikasinya, dan buktiin sendri dijamin langsung di Acc. (Khususnya yg lagi butuh Dana kaya saya)😁👍👍🙏",5,2020-12-25 05:40:53
5983,"Pinjaman pertama sudah dibayar,, trus gak pinjem lg, kog langsung ada pemberitahuan dari cs ada double tagihan?? Dan tiba"" di aplikasi muncul pinjaman baru yang bukan aku yg minjem.. katanya masalah sistem, tp kok aneh ya",1,2020-12-25 09:26:24
6441,"Bagus aplikasi nya sangat membantu, tapi sayang nya suku bunga yang begitu tinggi, pinjaman limit 2,3jta bayar 3,4 selama 3 bulan, bungan yang membengkak, rentenir kali ini mah nama nya apklikasi",4,2020-12-25 13:53:13
7920,Terima kasih ada kami selama ini sudah banyak membantu saya.yg lagi butuh dana mendesak.jangan ragu2 pinjam saja disini.prosesnya cepat dan cairnya cuma beberapa menit ajja.saran saya kalo bisa limit nya dinaikan untuk yg pembayaran bulanan.sukses selalu ya,5,2020-12-26 01:18:39
8343,"Aplikasi AdaKami sangat bagus. Benar"" membantu keuangan saya.. Jelas, nyata, bagus, sesuai yg di butuhkan.. Mkasih adakami...",5,2020-12-26 05:53:38
9750,Aplikasi gak jelas... Kecewa sekali.. Padahal sy lagi membutuhkan... Sy dah pinjam ke tiga kalinya.. Tp di tolak alasannya gak jelas lagi.. Padahal sy belum jatuh tempo dah sy lunasin. Semoga dapat mitra yg gak jelas.. Amin.,1,2020-12-26 08:38:55
8703,Mantap adakami.. pinjaman belom di lunasi udh ada kenaikan limit... Prosesnya juga cepat. Enga perlu nunggu lama buat pengajuan dan limit yg di dapat.,4,2020-12-26 10:01:35
4847,"Aplikasi yg mudah dan cepat dalam proses peminjaman, asal pembayaran lancar, msh diberikan lagi pinjaman meski pinjaman terdahulu blm selesai, aplikasi yg recomended",5,2020-12-26 11:47:52
4403,"Aplikasnya bagus sepertinya..yg mau saya tanyakan. Saya belum bergabung, masih tahap pengisian data kok.sdh ditelpon dan disms. Terkait kelengkapan pengisian data. Mhon penjelasannya. Saya jdi merasa tidk nyaman. Ketika mnerima telpon..menyuruh saya menyelesaikan pengisian. Semntara aplks nya sdh keburu saya hapus.",2,2020-12-26 11:58:50
7957,"Sungguh keterlaluan, aplikasi yg membuat kekecewaan jangan Kan saya mengkin orang Banyak bah Kan lebihhh kecewa lagi Dari pada saya. Baru pengajuan Ehh Malah langsung ditolak sungguh luarrr biasa ... CAM KAN ITU ADMIN jangan dengan Cara ini Untuk menjadi yg TERBAIK.",1,2020-12-26 17:38:26
6092,"Ma'af saya belum bisa ngasih bintang buat apk Adakami, Krna saya barusan ,mengajukan pinjaman,padahal data yg saya berikan sudah benar dan lengkap,tapi ditolak,katanya paling mudah,tapi pas saya ajukan pinjaman ditolak,dan tidak ada pemberitahuan kesalahannya dimana,dan yg kurang dimana,kan bingung memperbaiki dimana. Tolong hapus aja data saya,atas nama BP,,BAHRUDIN,dari kalsel kab banjar.",1,2020-12-27 06:56:52
3989,Okelah ini pinjaman paling wort it... Saya telah beberapa kali pinjam di aplikasi ini dan hasilnya memuaskan tidak ada potongan bunga nya pun ya lumayan daripada pinjol di aplikasi lain... Tolong ya dijaga akun dan data saya dan kalau mau pinjem itu kalau data kita bagus mohon kelanjutannya jangan dipersulit... Trimakasih,5,2020-12-27 11:33:51
7495,Sangat bagus dan sangat membantu sekali ada kami..pengajuan ke dua dg limit lebih besar langsung disetujui..terimakasih ada kami semoga makin sukses.,5,2020-12-28 02:44:04
8383,"Aplikasi kurang becus ,saya capek ngisi data saya seenak jidat di tolak..saya minjam untuk keperluan... Ingat kalau tidak mau di pinjam kan ,jngn salah. Gunakan data saya...ingat!!!!!!",1,2020-12-28 05:19:37
5090,"Suka aplikasinya sangat sederhana, tp sangat menyenangkan, proseny sangat cepat, amazing, ,mau aku pake buat liburan tahun ini, coba ada yg bisa di cicil, 😁terimakasih adakami,,Rekomend,,",5,2020-12-28 05:47:25
8580,"Ini si mantul banget, kalau pas lagi kesusahan ga perlu pinjem ke orang lg ini mudah dan syarat gampang, terimakasih banyak semoga kedepannya lebih bagus lg.",5,2020-12-28 10:35:39
9589,saya kasih bintang 2 dulu.. karana limit tidak di naikan lagi.. padahal apk yg lain mah gtu.. abis pinjam selesai limit naik.. ini sih tetep aja segtu.. klo limit blm di naikan mungkin saya akan uinstal aja lah.. trus katanya dapet kupon.. tpi pas mau pinjam lgi kupon tidak tersedia katanya.. gimna ini..,2,2020-12-28 12:08:42
9131,terimakasih Ada kami sdh acc pinjaman saya 😀 semoga lancar terus aplikasinya . dan dipercepat lagi dlm verifikasi dan juga pencairanya... kadang membutuhkan waktu yg lama.,5,2020-12-28 13:57:43
6721,"buruuuuuk,,,pinjaman pertama bayar tepat waktu, setelah itu pinjam tidak pernah di acc,udah berbulan bulan,udah berkali kali nyoba gak pernah di acc,pengajuan di tolak terus,,sampaaaaah👎",1,2020-12-28 22:48:57
7901,Aplikasi ni emang pingin Enak nya ajah... Saya udah pengajuan sampai 2 kali.. tidak telat bayar.. mau ngajuin lagi malah di tolak... Lagi butuh GK bisa di andalkan..,1,2020-12-29 00:04:14
6016,"Prosesnya cepat pengajuan nya cepat di setujui,semoga lancar kedepannya,pembayaran lancar,semoga pinjaman nya menjadi berkah,,membantu sekali untuk saya yg sedang membutuhkan uang secepatnya.trimakasih AdaKami",5,2020-12-29 01:51:39
8806,"Jangan percaya aplikasi ini...karena saya barusan download dan meminjam tapi tidak bisa cair,data yang saya masuk kan betul dan benar semua... Jadi tolong hapus data saya kembali",1,2020-12-29 05:37:36
6838,Sangat puas dengan layanan dari aplikasi AdaKami. Proses mudah dan cepat. Bunga rendah. Semoga aplikasi ini selalu baik dan membantu kami yang benar membutuhkan. Trims,5,2020-12-29 09:19:54
8321,Good... Tolong kalau bisa perbanyak cara untuk sistem pembayarannya. Di alfamart sering gangguan kadang komputernya eror kadang sistem nya lah,5,2020-12-29 11:35:16
7480,Aplikasi nya membantu cuma 1 saja dan mohon di perhatikan. 3 hari sebelum waktu nya bayar sudah di telponin terus. Seharus nya setelah waktu nya lewat dari waktu pembayaran nah itu wajib di telponin.,5,2020-12-30 01:56:25
7531,"Saya beri bintang 5 untuk aplikasi ini, karena aplikasi ini sangat membantu... sukses selalu buat adakami... semoga adakami bisa membantu org lain juga yg sangat membutuhkan dana. Terima kasih adakami pinjaman online.",5,2020-12-30 07:48:42
8288,Tolong STOP menghubungi saya karena saya sudah tidak tertarik!! Sudah saya uninstall aplikasi nya dan SAMA SEKALI TIDAK MENGGUNAKAN PINJAMAN apapun di aplikasi AdaKami.,1,2020-12-30 08:05:04
9295,Ko pinjaman saya di tolak terus 2 kali . Padahal dari awal saya udh pinjam di ACC berkali2 dan pembayaran saya pun sangat baik. Malah sebelum jatoh tempo saya udh bayar.,1,2020-12-30 10:33:02
8737,AdaKami itu bagus. Pencarian nya cepat dan bunganya cukup ringan. Yg penting bayar tepat waktu biar limit kredit kita makin bertambah. Terima kasih AdaKami. HATI HATI PENIPUAN !!!,4,2020-12-30 12:17:10
